Complexity,Loss,Equation
1,0.06633243,"x0"
6,0.06523243,"x0 - (x0 * 0.033166282)"
19,0.06515064,"(square(0.014739328 - x0) + (x0 - (square(x2 + 0.004884166) + square(x0)))) + square(x2)"
20,0.06515061,"(square(-0.48524758 - x0) + (square(x2 + -0.0048583983) - (square(x0) + square(x2)))) + -0.23544453"
22,0.0651506,"(square(x2 + -0.004883502) + square(x0 - 0.014741308)) + (x0 - (square(x0) + (square(x2) + 0.00024079088)))"
23,0.065150596,"(square(x0 - -0.48525152) + (square(x2 + -0.0048800795) - (square(x0) + (square(x2) + -0.4835564)))) - 0.7190502"
