Complexity,Loss,Equation
1,0.70402277,"x0"
3,0.6739935,"x0 - x1"
5,0.5047992,"x2 + (x0 - x1)"
9,0.50445616,"((x0 - x1) + 0.012220814) + x2"
10,0.5043934,"(square(0.14194208) + (x0 - x1)) + x2"
13,0.44680396,"(x0 + (square(-0.31858078 - x2) - square(x2))) - x1"
15,0.44141704,"square(x2) + ((x2 + x0) - (x1 + square(x2 + 0.12641509)))"
16,0.43839145,"x0 + ((square(x2 - 0.14727917) - ((x2 * x2) + x1)) + x2)"
20,0.43837667,"x2 + ((x0 + square(x2 - 0.14727917)) - (((x2 * x2) + x1) + -0.022524538))"
