10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
10.0,35.0
15.0,18.0
15.0,18.0
15.0,18.0
15.0,18.0
15.0,18.0
15.0,18.0
15.0,18.0
15.0,18.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
21.0,24.0
21.0,24.0
21.0,24.0
21.0,24.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
21.0,24.0
21.0,24.0
21.0,24.0
21.0,24.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
15.0,18.0
15.0,18.0
15.0,18.0
15.0,18.0
15.0,18.0
15.0,18.0
15.0,18.0
15.0,18.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
28.0,31.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
12.0,15.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
24.0,27.0
19.0,22.0
19.0,22.0
19.0,22.0
22.0,25.0
22.0,25.0
22.0,25.0
19.0,22.0
19.0,22.0
19.0,22.0
22.0,25.0
22.0,25.0
22.0,25.0
19.0,22.0
19.0,22.0
