Complexity,Loss,Equation
1,0.70402277,"x0"
3,0.67302394,"x0 - x1"
4,0.40765703,"x1 * -0.8547511"
6,0.39932686,"(x2 - x1) * 0.52203405"
10,0.3543633,"(square(x0) - square(-0.17185324 + x0)) - x1"
16,0.35422415,"((-0.022619816 + square(x0)) - square((-0.08592662 + -0.08592662) + x0)) - x1"
