Complexity,Loss,Equation
1,0.06888701,"x0"
3,0.067700654,"x0 * 0.9655582"
7,0.06749167,"(x0 * 0.95826536) + (x1 * 0.013635816)"
8,0.067215145,"x0 + (square(x0) * (x2 * -0.018371763))"
9,0.06720078,"x0 + ((x0 * x2) * (x0 * -0.020012721))"
12,0.066690326,"(x0 * -0.020012721) + (x0 + (square(x0) * (x2 * -0.018371763)))"
16,0.066574626,"x0 + (((x0 * -0.019448131) + (x2 * 0.021215962)) + ((x2 * x0) * (x0 * -0.019448131)))"
17,0.06558404,"(x0 + ((x2 * 0.0026610414) * (x2 * x2))) + ((x2 * x0) * (x0 * -0.039117362))"
20,0.0652777,"((x0 + (x0 * -0.030982837)) + ((x2 * 0.0026610414) * (x2 * x2))) + ((x2 * x0) * (x0 * -0.039117362))"
