**ACTUATORS**
Actuator,Material,Surface Property Visible Absorptance,floor_consol_layer,[ ]
Actuator,Material,Surface Property Solar Absorptance,bsmtwall_consol_layer,[ ]
Actuator,Material,Surface Property Thermal Absorptance,bsmtwall_consol_layer,[ ]
Actuator,Material,Surface Property Visible Absorptance,bsmtwall_consol_layer,[ ]
Actuator,Material,Surface Property Solar Absorptance,crawlwall_consol_layer,[ ]
Actuator,Material,Surface Property Thermal Absorptance,crawlwall_consol_layer,[ ]
Actuator,Material,Surface Property Visible Absorptance,crawlwall_consol_layer,[ ]
Actuator,Material,Surface Property Solar Absorptance,wall_consol_layer,[ ]
Actuator,Material,Surface Property Thermal Absorptance,wall_consol_layer,[ ]
Actuator,Material,Surface Property Visible Absorptance,wall_consol_layer,[ ]
Actuator,Material,Surface Property Solar Absorptance,Very High Reflectivity Surface,[ ]
Actuator,Material,Surface Property Thermal Absorptance,Very High Reflectivity Surface,[ ]
Actuator,Material,Surface Property Visible Absorptance,Very High Reflectivity Surface,[ ]
Actuator,Material,Surface Property Solar Absorptance,GypsumBoard-5/16in,[ ]
Actuator,Material,Surface Property Thermal Absorptance,GypsumBoard-5/16in,[ ]
Actuator,Material,Surface Property Visible Absorptance,GypsumBoard-5/16in,[ ]
Actuator,Material,Surface Property Solar Absorptance,CopperPipe,[ ]
Actuator,Material,Surface Property Thermal Absorptance,CopperPipe,[ ]
Actuator,Material,Surface Property Visible Absorptance,CopperPipe,[ ]
Actuator,Material,Surface Property Solar Absorptance,F08 Metal surface,[ ]
Actuator,Material,Surface Property Thermal Absorptance,F08 Metal surface,[ ]
Actuator,Material,Surface Property Visible Absorptance,F08 Metal surface,[ ]
Actuator,Material,Surface Property Solar Absorptance,Concrete_4in,[ ]
Actuator,Material,Surface Property Thermal Absorptance,Concrete_4in,[ ]
Actuator,Material,Surface Property Visible Absorptance,Concrete_4in,[ ]
Actuator,Material,Surface Property Solar Absorptance,Asphalt_shingle,[ ]
Actuator,Material,Surface Property Thermal Absorptance,Asphalt_shingle,[ ]
Actuator,Material,Surface Property Visible Absorptance,Asphalt_shingle,[ ]
Actuator,Material,Surface Property Solar Absorptance,Wood_shingle,[ ]
Actuator,Material,Surface Property Thermal Absorptance,Wood_shingle,[ ]
Actuator,Material,Surface Property Visible Absorptance,Wood_shingle,[ ]
Actuator,Material,Surface Property Solar Absorptance,Slate_shingle,[ ]
Actuator,Material,Surface Property Thermal Absorptance,Slate_shingle,[ ]
Actuator,Material,Surface Property Visible Absorptance,Slate_shingle,[ ]
Actuator,Material,Surface Property Solar Absorptance,cement_stucco,[ ]
Actuator,Material,Surface Property Thermal Absorptance,cement_stucco,[ ]
Actuator,Material,Surface Property Visible Absorptance,cement_stucco,[ ]
Actuator,Material,Surface Property Solar Absorptance,syn_stucco,[ ]
Actuator,Material,Surface Property Thermal Absorptance,syn_stucco,[ ]
Actuator,Material,Surface Property Visible Absorptance,syn_stucco,[ ]
Actuator,Material,Surface Property Solar Absorptance,Drywall_1/2in,[ ]
Actuator,Material,Surface Property Thermal Absorptance,Drywall_1/2in,[ ]
Actuator,Material,Surface Property Visible Absorptance,Drywall_1/2in,[ ]
Actuator,Material,Surface Property Solar Absorptance,OSB_5/8in,[ ]
Actuator,Material,Surface Property Thermal Absorptance,OSB_5/8in,[ ]
Actuator,Material,Surface Property Visible Absorptance,OSB_5/8in,[ ]
