Complexity,Loss,Equation
1,0.70402277,"x0"
4,0.43504742,"x1 + x2"
9,0.42627653,"(x2 + x1) + -0.10871486"
14,0.42610168,"(x1 + 0.015914032) - (0.12615083 - x2)"
20,0.42609808,"(x1 + (((-0.44795793 + x1) - -0.36668321) - x1)) + x2"
21,0.42589062,"x1 + (x2 + (0.1462339 - square(x2 + (-0.49116468 - x2))))"
28,0.42291602,"-0.99824846 + (x2 - ((x1 + (x1 * x1)) - square((x1 - 9.205882) + 10.139507)))"
