Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:15:00,3.386837E-02,3.932334E+02,3.386837E-02,2.949123E+02,6.348774E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
00:30:00,3.386837E-02,3.986957E+02,3.386837E-02,2.894500E+02,6.292768E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
00:45:00,3.386837E-02,4.041580E+02,3.386837E-02,2.839877E+02,6.236769E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
01:00:00,3.386837E-02,4.096203E+02,3.386837E-02,2.785255E+02,6.180764E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
01:15:00,3.386837E-02,4.132618E+02,3.386837E-02,2.748839E+02,6.143430E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
01:30:00,3.386837E-02,4.169033E+02,3.386837E-02,2.712424E+02,6.106091E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
01:45:00,3.386837E-02,4.205448E+02,3.386837E-02,2.676009E+02,6.068759E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
02:00:00,3.386837E-02,4.241864E+02,3.386837E-02,2.639594E+02,6.031426E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
02:15:00,3.386837E-02,4.269175E+02,3.386837E-02,2.612282E+02,6.003421E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
02:30:00,3.386837E-02,4.296487E+02,3.386837E-02,2.584971E+02,5.975421E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
02:45:00,3.386837E-02,4.323798E+02,3.386837E-02,2.557659E+02,5.947422E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
03:00:00,3.386837E-02,4.351109E+02,3.386837E-02,2.530348E+02,5.919423E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
03:15:00,3.386837E-02,4.378421E+02,3.386837E-02,2.503037E+02,5.891418E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
03:30:00,3.386837E-02,4.405732E+02,3.386837E-02,2.475725E+02,5.863418E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
03:45:00,3.386837E-02,4.433044E+02,3.386837E-02,2.448414E+02,5.835419E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
04:00:00,3.386837E-02,4.460355E+02,3.386837E-02,2.421102E+02,5.807419E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
04:15:00,3.386837E-02,4.478563E+02,3.386837E-02,2.402895E+02,5.788748E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
04:30:00,3.386837E-02,4.496770E+02,3.386837E-02,2.384687E+02,5.770082E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
04:45:00,3.386837E-02,4.514978E+02,3.386837E-02,2.366479E+02,5.751416E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
05:00:00,3.386837E-02,4.533186E+02,3.386837E-02,2.348272E+02,5.732750E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
05:15:00,3.386837E-02,4.514978E+02,3.386837E-02,2.366479E+02,5.751416E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
05:30:00,3.386837E-02,4.496770E+02,3.386837E-02,2.384687E+02,5.770082E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
05:45:00,3.386837E-02,4.478563E+02,3.386837E-02,2.402895E+02,5.788748E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
06:00:00,3.386837E-02,4.460355E+02,3.386837E-02,2.421102E+02,5.807419E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
06:15:00,3.386837E-02,4.396628E+02,3.386837E-02,2.484829E+02,5.872752E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
06:30:00,3.386837E-02,4.332902E+02,3.386837E-02,2.548556E+02,5.938089E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
06:45:00,3.386837E-02,4.269175E+02,3.386837E-02,2.612282E+02,6.003421E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
07:00:00,3.386837E-02,4.205448E+02,3.386837E-02,2.676009E+02,6.068759E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
07:15:00,3.386837E-02,4.050684E+02,3.386837E-02,2.830774E+02,6.227435E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
07:30:00,3.386837E-02,3.895919E+02,3.386837E-02,2.985538E+02,6.386108E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
07:45:00,3.386837E-02,3.741154E+02,3.386837E-02,3.140303E+02,6.544787E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
08:00:00,3.386837E-02,3.586390E+02,3.386837E-02,3.295068E+02,6.703463E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
08:15:00,3.386837E-02,3.413417E+02,3.386837E-02,3.468040E+02,6.880813E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
08:30:00,3.386837E-02,3.240445E+02,3.386837E-02,3.641012E+02,7.058158E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
08:45:00,3.386837E-02,3.067473E+02,3.386837E-02,3.813985E+02,7.235512E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
09:00:00,3.386837E-02,2.894500E+02,3.386837E-02,3.986957E+02,7.412866E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
09:15:00,3.386837E-02,2.739736E+02,3.386837E-02,4.141722E+02,7.571550E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
09:30:00,3.386837E-02,2.584971E+02,3.386837E-02,4.296487E+02,7.730240E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
09:45:00,3.386837E-02,2.430206E+02,3.386837E-02,4.451251E+02,7.888926E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
10:00:00,3.386837E-02,2.275441E+02,3.386837E-02,4.606016E+02,8.047618E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
10:15:00,3.386837E-02,2.138884E+02,3.727257E-02,5.324063E+02,9.240749E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
10:30:00,3.386837E-02,2.002327E+02,4.399004E-02,6.608045E+02,1.136970E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
10:45:00,3.386837E-02,1.865770E+02,5.041899E-02,7.842725E+02,1.328077E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
11:00:00,3.386837E-02,1.729213E+02,5.620244E-02,8.967137E+02,1.489056E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
11:15:00,3.386837E-02,1.638175E+02,6.103762E-02,9.884043E+02,1.617405E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
11:30:00,3.386837E-02,1.547137E+02,6.500899E-02,1.065340E+03,1.711955E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
11:45:00,3.386837E-02,1.456099E+02,6.809195E-02,1.127102E+03,1.776554E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
12:00:00,3.386837E-02,1.365061E+02,7.038883E-02,1.175437E+03,1.819542E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
12:15:00,3.386837E-02,1.292230E+02,7.211012E-02,1.212121E+03,1.853133E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
12:30:00,3.386837E-02,1.219400E+02,7.351093E-02,1.243329E+03,1.875006E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
12:45:00,3.386837E-02,1.146569E+02,7.490410E-02,1.274406E+03,1.894992E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
13:00:00,3.386837E-02,1.073739E+02,7.668768E-02,1.312152E+03,1.925016E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
13:15:00,3.386837E-02,1.028220E+02,7.921914E-02,1.359944E+03,1.971744E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
13:30:00,3.386837E-02,9.827007E+01,8.258498E-02,1.421977E+03,2.038817E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
13:45:00,3.386837E-02,9.371817E+01,8.684180E-02,1.499224E+03,2.119535E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
14:00:00,3.386837E-02,8.916626E+01,9.177126E-02,1.587957E+03,2.212946E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
14:15:00,3.386837E-02,8.916626E+01,7.071431E-02,1.233696E+03,1.747877E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
14:30:00,3.386837E-02,8.916626E+01,4.850634E-02,8.573543E+02,1.275766E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
14:45:00,3.386837E-02,8.916626E+01,3.386837E-02,5.989795E+02,9.466551E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
15:00:00,3.386837E-02,8.916626E+01,3.386837E-02,5.989795E+02,9.466551E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
15:15:00,3.386837E-02,9.462855E+01,5.957388E-02,1.075605E+03,1.538601E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
15:30:00,3.386837E-02,1.000908E+02,6.560495E-02,1.169788E+03,1.650029E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
15:45:00,3.386837E-02,1.055531E+02,1.204745E-01,2.120370E+03,2.789228E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
16:00:00,3.386837E-02,1.110154E+02,1.610153E-01,2.750152E+03,3.486602E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
16:15:00,3.386837E-02,1.182984E+02,1.417941E-01,2.413346E+03,3.061577E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
16:30:00,3.386837E-02,1.255815E+02,1.755007E-01,2.981780E+03,3.698151E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
16:45:00,3.386837E-02,1.328645E+02,1.596860E-01,2.704342E+03,3.365122E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
17:00:00,3.386837E-02,1.401476E+02,1.574906E-01,2.659611E+03,3.305377E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
17:15:00,3.386837E-02,1.492514E+02,1.560797E-01,2.626419E+03,3.264865E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
17:30:00,3.386837E-02,1.583552E+02,1.547956E-01,2.595385E+03,3.237487E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
17:45:00,3.386837E-02,1.674590E+02,1.535205E-01,2.564508E+03,3.213175E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
18:00:00,3.386837E-02,1.765628E+02,1.522635E-01,2.533943E+03,3.187338E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
18:15:00,3.386837E-02,1.902185E+02,1.507902E-01,2.495128E+03,3.154777E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
18:30:00,3.386837E-02,2.038742E+02,1.489200E-01,2.449533E+03,3.118656E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
18:45:00,3.386837E-02,2.175299E+02,1.464502E-01,2.393693E+03,3.068120E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
19:00:00,3.386837E-02,2.311857E+02,1.429782E-01,2.320735E+03,2.997823E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
19:15:00,3.386837E-02,2.411998E+02,1.371038E-01,2.210384E+03,2.879103E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
19:30:00,3.386837E-02,2.512140E+02,1.293231E-01,2.067472E+03,2.722526E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
19:45:00,3.386837E-02,2.612282E+02,1.191126E-01,1.883051E+03,2.517738E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
20:00:00,3.386837E-02,2.712424E+02,1.064612E-01,1.656931E+03,2.262660E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
20:15:00,3.386837E-02,2.794358E+02,9.227855E-02,1.406474E+03,1.974905E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
20:30:00,3.386837E-02,2.876293E+02,7.867135E-02,1.165843E+03,1.689684E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
20:45:00,3.386837E-02,2.958227E+02,6.691709E-02,9.568638E+02,1.441972E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
21:00:00,3.386837E-02,3.040161E+02,5.774075E-02,7.919198E+02,1.244618E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
21:15:00,3.386837E-02,3.122095E+02,5.048390E-02,6.597639E+02,1.082454E+03,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
21:30:00,3.386837E-02,3.204030E+02,4.404852E-02,5.416409E+02,9.362160E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
21:45:00,3.386837E-02,3.285964E+02,3.821166E-02,4.337417E+02,7.995023E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
22:00:00,3.386837E-02,3.367898E+02,3.386837E-02,3.513559E+02,6.927480E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
22:15:00,3.386837E-02,3.431625E+02,3.386837E-02,3.449832E+02,6.862145E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
22:30:00,3.386837E-02,3.495352E+02,3.386837E-02,3.386106E+02,6.796804E+02,3.386837E-02,1.327965E+03,3.386837E-02,0.000000E+00,0.000000E+00
