Complexity,Loss,Equation
1,0.6550363,"-0.012374461"
3,0.02300538,"x0 - 2.7401663e-11"
5,0.023005286,"(-0.68033767 * 3.1796029e-7) + x0"
6,0.022563761,"(-0.0009313669 * square(1.2710336)) + x0"
9,0.020527154,"x0 + (-0.0005098574 / (x0 - (x2 / -2.2596889)))"
