Complexity,Loss,Equation
1,0.70402277,"x0"
3,0.43504742,"x1 + x2"
6,0.4259054,"x1 + (x2 + -0.091787435)"
9,0.4259009,"((x2 + 0.47590363) - 0.57487816) + x1"
15,0.42589015,"(((-0.697397 - 0.044398267) + x2) + 0.63861406) + (x1 + 0.0074027223)"
