Complexity,Loss,Equation
1,0.0038684295,"x0"
2,0.003864689,"x0 * 0.9980956"
4,0.0038646883,"x0 + (x0 * -0.0019503979)"
6,0.0038530917,"(x0 * 0.9942477) + (x1 * 0.004829744)"
14,0.0038528468,"((x0 * -0.005021679) + ((x2 * -0.9954826) + x2)) + (x0 + (x1 * 0.008784988))"
