Complexity,Loss,Equation
1,0.06888701,"x0"
3,0.067700684,"x0 * 0.9657058"
5,0.06770066,"(x0 * 0.9656281) + 2.5612385e-7"
7,0.06756541,"(0.0064373296 * x1) + (x0 * 0.9657058)"
9,0.06753136,"(x1 + (x0 * 0.9522329)) + (x1 * -0.98123133)"
10,0.06751303,"((0.0064373296 * x1) + (x0 * 0.9657058)) + (0.0064373296 * x1)"
13,0.06750834,"x1 + (((x0 * -0.04539052) + (x0 + x1)) + (x1 * -1.9840388))"
15,0.067487784,"((x1 + (x0 * -1.0385456)) + (x1 * -1.986598)) + ((x0 + x1) + x0)"
17,0.067487754,"((x1 + ((x0 * -2.0385509) + x0)) + (x1 * -1.986594)) + (x0 + (x1 + x0))"
