Complexity,Loss,Equation
1,0.70402277,"x0"
3,0.43504742,"x1 + x2"
6,0.4270577,"(x2 + x1) - 0.12986282"
7,0.42597574,"x2 + (x1 - square(0.29401076))"
9,0.3846115,"((x1 * -1.2843163) - x2) * -0.6332728"
11,0.3684085,"x1 + (x2 - exp(x1 + (x2 - 4.186666)))"
15,0.36461273,"(x2 + x1) - exp(x1 + ((square(-0.66766953) + x2) - 4.4932857))"
17,0.3621896,"(x2 + x1) - exp((x2 + x1) - (4.4932857 - (1.025515 + -0.30661973)))"
18,0.36182883,"x2 + (x1 - exp(square(1.2522147) + (((x2 - 4.4932857) - 0.92236894) + x1)))"
