Complexity,Loss,Equation
1,0.0038684295,"x0"
2,0.0038648522,"x0 * 0.9976607"
4,0.0038646979,"(x0 * 0.99811995) + -8.3030805e-5"
6,0.00385391,"(x0 * 0.9948267) + (x1 * 0.0038779702)"
8,0.003853061,"((x0 * 0.9937481) + (x1 * -0.99473214)) + x1"
21,0.0038530256,"(((x0 * 0.9937018) + ((x1 + ((x1 * -0.7108154) + ((x1 * -0.44439036) + (x1 * -2.839143)))) + x1)) + x1) + x1"
24,0.0038529881,"(x1 + (x1 * 0.20055537)) + ((((x0 * -1.0058547) + x0) + ((x1 * 0.19950338) + ((x1 * -2.852167) + (x1 * 0.45734292)))) + (x0 + x1))"
27,0.0038529793,"(((x1 * -0.8167899) + ((x0 + x0) + x1)) + (x1 * -1.2183579)) + (((((x0 + x1) + (x1 * -1.9594822)) + x1) + (x0 * -2.006044)) + x1)"
