Complexity,Loss,Equation
1,0.06888701,"x0"
3,0.067700684,"x0 * 0.9654221"
5,0.06770066,"x0 * (1.0035864 + -0.037946578)"
7,0.06751811,"((x1 * 0.009836876) + x0) * 0.9629028"
9,0.066735655,"x0 + (square(square(x0)) * (x2 * -0.0057275486))"
11,0.06639192,"(x0 + (square(square(x0)) * (x2 * -0.0057275486))) * 0.9919986"
18,0.066385046,"(cube(x0) * (((x2 * x0) + exp((x0 + cube(x0)) * -0.008126267)) * -0.0048377374)) + x0"
19,0.06636923,"((((x2 * x0) + exp(cube(exp(x1)) * -0.0005974034)) * -0.0005974034) * cube(x0 + x0)) + x0"
