Complexity,Loss,Equation
1,3.5251038,"x2"
2,0.003865305,"x0 * 0.9988513"
4,0.003864732,"(x0 * 0.9981647) + 0.00018504779"
8,0.0038596329,"0.0012568285 + ((x1 * 0.0019437842) + (x0 * 0.9971791))"
10,0.003856025,"((x0 * 0.5130961) + (x1 * 0.0033796574)) + (x0 * 0.48360413)"
13,0.003853838,"((x1 * 0.0063139494) + (((x0 * -1.0060978) + (x0 + -0.07069911)) + x0)) + 0.07067056"
20,0.0038533763,"(-0.00030746037 + (((x0 + (0.0024931426 * x1)) + ((0.0024931426 * x1) + (x0 + (x0 * -0.37139404)))) + 0.00053612475)) + (x0 * -0.63380885)"
22,0.0038533302,"(-0.00030746037 + (((x0 + (0.0024931426 * x1)) + (0.0024931426 * x1)) + (((x0 + (x0 * -0.37139404)) + -0.00030746037) + 0.00053612475))) + (x0 * -0.63380885)"
