Complexity,Loss,Equation
1,0.7981701,"0.11947268"
2,0.70402277,"x0"
4,0.43504742,"x1 + x2"
6,0.37124214,"hvac_eff(x1 + x2, 0.8397248)"
8,0.28996384,"hvac_eff((x2 + x1) + x0, -0.6719499)"
10,0.21622543,"hvac_eff(x1 + x2, 0.39747024) + hvac_eff(x0, -0.9161986)"
11,0.21595497,"x0 + hvac_eff(x1 + conduct(x2, x0), -0.33031613)"
12,0.19064644,"hvac_eff(x0, 0.95041054) + (hvac_eff(x2, 0.3823092) + hvac_eff(x1, -0.31648394))"
14,0.18482196,"hvac_eff(x0, 0.95041054) + ((hvac_eff(x1, -0.3178594) + -0.010689989) + hvac_eff(x2, 0.3823092))"
18,0.17358291,"hvac_eff(conduct(x1 + (x2 + hvac_eff(x2, 0.6854619)), hvac_eff(x0, x0)), -0.4044639) + x0"
21,0.17307203,"x0 + hvac_eff(x2 + (x1 + (hvac_eff(square(-0.1955567) + x2, 0.59272337) - hvac_eff(x0, x0))), -0.40211278)"
22,0.16777344,"x0 + hvac_eff((x2 + x1) + (hvac_eff(x2 + 0.038242422, 0.59272337) - hvac_eff(x0 - -0.27145845, x0)), -0.40211278)"
24,0.1613368,"x0 + hvac_eff(x1 + ((x2 + square(hvac_eff(x2, 0.59272337))) + (hvac_eff(x2, 0.59272337) - hvac_eff(x0, x0))), -0.40211278)"
